,£0.00,Users,,,,,d,p,s,T,,
0,"£1,671.45",1063,,,,,£977.15,758.7526246,£313.33,"£2,049.23",23.00,"£47,132.29"
1,"£1,629.91",1076,,,,,£964.43,791.6329021,£284.39,"£2,040.45",20.00,"£40,809.00"
2,"£1,591.81",1055,,,,,£919.19,740.7724227,£310.40,"£1,970.36",22.00,"£43,347.92"
3,"£1,385.80",1077,,,,,£807.81,732.7301695,£248.90,"£1,789.44",21.00,"£37,578.24"
4,"£1,486.84",1064,,,,,£886.30,727.3848974,£266.03,"£1,879.71",23.00,"£43,233.33"
5,"£1,357.19",1075,,,,,£812.31,708.9958118,£233.48,"£1,754.79",22.00,"£38,605.38"
6,"£1,409.22",1069,,,,,£803.34,732.3096312,£273.69,"£1,809.34",22.00,"£39,805.48"
7,"£1,398.19",1074,,,,,£749.11,760.5527278,£290.52,"£1,800.18",23.00,"£41,404.14"
8,"£1,677.16",1079,,,,,£946.14,834.0148193,£315.58,"£2,095.73",20.00,"£41,914.60"
9,"£1,714.09",1104,,,,,£934.19,919.9785875,£325.07,"£2,179.24",23.00,"£50,122.52"
10,"£1,700.31",1110,,,,,£934.05,930.6991282,£300.56,"£2,165.31",22.00,"£47,636.82"
11,"£1,698.34",1062,,,,,£939.11,807.7839345,£341.36,"£2,088.25",21.00,"£43,853.25"
,,,,,,,,,,,,"£515,442.97"
