,£0.00,Users,,,,d,p,T,,,,
0,"£1,155.81",980,,,,£905.24,487.7987798,"£1,393.04",31.00,23.00,8.00,"£11,144.32"
1,"£1,130.33",994,,,,£873.14,511.9552664,"£1,385.10",28.00,20.00,8.00,"£11,080.80"
2,"£1,010.23",977,,,,£783.98,447.3850726,"£1,231.37",31.00,22.00,9.00,"£11,082.33"
3,£951.14,1004,,,,£721.79,515.8155417,"£1,237.61",30.00,21.00,9.00,"£11,138.49"
4,£919.81,1001,,,,£687.51,502.2678227,"£1,189.78",31.00,23.00,8.00,"£9,518.24"
5,£899.10,991,,,,£707.38,467.4771636,"£1,174.86",30.00,22.00,8.00,"£9,398.88"
6,£905.43,975,,,,£705.84,429.9835925,"£1,135.82",31.00,22.00,9.00,"£10,222.38"
7,£877.65,974,,,,£672.36,425.9076629,"£1,098.27",31.00,23.00,8.00,"£8,786.16"
8,"£1,034.91",987,,,,£805.21,460.9502149,"£1,266.16",30.00,20.00,10.00,"£12,661.60"
9,"£1,121.81",1022,,,,£823.11,615.3340265,"£1,438.44",31.00,23.00,8.00,"£11,507.52"
10,"£1,226.41",1054,,,,£866.86,733.0919145,"£1,599.95",30.00,22.00,8.00,"£12,799.60"
11,"£1,122.76",1000,,,,£836.90,577.6184551,"£1,414.52",31.00,21.00,10.00,"£14,145.20"
,,,,,,,,,,,,"£133,485.52"
