,£0.00,Users,,,,,d,p,T,,,,
0,£968.06,980,,,,,£747.96,459.2478934,"£1,207.21",31.00,23.00,8.00,"£9,657.68"
1,£974.22,994,,,,,£746.62,491.1677501,"£1,237.79",28.00,20.00,8.00,"£9,902.32"
2,£859.52,977,,,,,£659.23,425.7088868,"£1,084.94",31.00,22.00,9.00,"£9,764.46"
3,£806.17,1004,,,,,£606.39,489.7244086,"£1,096.11",30.00,21.00,9.00,"£9,864.99"
4,£795.12,1001,,,,,£578.33,498.560926,"£1,076.89",31.00,23.00,8.00,"£8,615.12"
5,£797.60,991,,,,,£598.31,454.2257442,"£1,052.54",30.00,22.00,8.00,"£8,420.32"
6,£775.69,975,,,,,£601.97,413.7473195,"£1,015.72",31.00,22.00,9.00,"£9,141.48"
7,£731.32,974,,,,,£561.45,407.8795494,£969.33,31.00,23.00,8.00,"£7,754.64"
8,£918.52,987,,,,,£693.78,460.6716607,"£1,154.45",30.00,20.00,10.00,"£11,544.50"
9,£964.90,1022,,,,,£686.81,598.7312165,"£1,285.54",31.00,23.00,8.00,"£10,284.32"
10,"£1,070.19",1054,,,,,£731.24,712.2344956,"£1,443.47",30.00,22.00,8.00,"£11,547.76"
11,£984.28,1000,,,,,£701.15,542.955019,"£1,244.11",31.00,21.00,10.00,"£12,441.10"
,,,,,,,,,,,,,"£118,938.69"
